res,n_k_points_train,p,energy_density_train,energy_density_test
1,6,2,0.8217869928346565,0.8232235814111055
1,6,3,0.34504907850211214,0.34485165437124715
1,6,4,0.1639463060357595,0.1634583662494407
1,6,5,0.11279496083268675,0.1121159123221168
1,6,6,0.1040231536182255,0.10358559593981057
1,6,7,0.06377543422530595,0.06317879816270797
2,12,2,0.8149292337887954,0.8149507623583114
2,12,3,0.33943701114121283,0.3394393779647645
2,12,4,0.25520727112771685,0.2552111390498945
2,12,5,0.10876708843564144,0.10877275148525115
2,12,6,0.06787959075378343,0.06788249840382303
2,12,7,0.06076950346444075,0.06076874448224885
3,18,2,0.8140833742760063,0.8140840205388875
3,18,3,0.5010029723644258,0.501003556565067
3,18,4,0.2660397928635762,0.2660151565454422
3,18,5,0.15648118841824452,0.15647697272150393
3,18,6,0.10959830370995347,0.10959881008492946
3,18,7,0.07421738661701575,0.07421665923621909
4,24,2,0.8139106487237806,0.8139106789197962
4,24,3,0.5004344840027038,0.5004345134147776
4,24,4,0.25387723957267855,0.25387701375933425
4,24,5,0.10785633622628661,0.10785631905099949
